2024-06-24 23:17:00,728 DEBUG   HandlerThread:112086 [handler.py:handle_request():158] handle_request: internal_messages
2024-06-24 23:17:01,697 INFO    Thread-12 :112086 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/sultand/mop_modifications/streamlined_mop/src/wandb/run-20240624_231650-pspkhj3a/files/output.log
2024-06-24 23:17:01,738 DEBUG   HandlerThread:112086 [handler.py:handle_request():158] handle_request: internal_messages
2024-06-24 23:17:01,907 INFO    wandb-upload_0:112086 [upload_job.py:push():88] Uploaded file /home/sultand/.local/share/wandb/artifacts/staging/tmp7zcvcqim
2024-06-24 23:17:02,384 DEBUG   HandlerThread:112086 [handler.py:handle_request():158] handle_request: log_artifact
2024-06-24 23:17:02,498 INFO    SenderThread:112086 [sender.py:send_request_log_artifact():1518] logged artifact model-pspkhj3a - {'id': 'QXJ0aWZhY3Q6OTIyMjE2OTc1', 'state': 'PENDING', 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjIyOTYwNTA3NA==', 'latestArtifact': None}}
2024-06-24 23:17:02,499 DEBUG   SenderThread:112086 [sender.py:send_request():406] send_request: log_artifact
2024-06-24 23:17:02,502 DEBUG   HandlerThread:112086 [handler.py:handle_request():158] handle_request: status_report
2024-06-24 23:17:02,733 DEBUG   HandlerThread:112086 [handler.py:handle_request():158] handle_request: internal_messages
2024-06-24 23:17:03,733 DEBUG   HandlerThread:112086 [handler.py:handle_request():158] handle_request: internal_messages
2024-06-24 23:17:04,200 INFO    wandb-upload_0:112086 [upload_job.py:push():88] Uploaded file /home/sultand/.local/share/wandb/artifacts/staging/tmpivlhwh46
2024-06-24 23:17:04,733 DEBUG   HandlerThread:112086 [handler.py:handle_request():158] handle_request: internal_messages
2024-06-24 23:17:04,772 DEBUG   HandlerThread:112086 [handler.py:handle_request():158] handle_request: log_artifact
2024-06-24 23:17:04,818 INFO    SenderThread:112086 [sender.py:send_request_log_artifact():1518] logged artifact model-pspkhj3a - {'id': 'QXJ0aWZhY3Q6OTIyMjE3MDI2', 'state': 'PENDING', 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjIyOTYwNTA3NA==', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6OTIyMjE2OTc1', 'versionIndex': 0}}}
2024-06-24 23:17:04,818 DEBUG   SenderThread:112086 [sender.py:send_request():406] send_request: log_artifact
2024-06-24 23:17:05,698 INFO    Thread-12 :112086 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/sultand/mop_modifications/streamlined_mop/src/wandb/run-20240624_231650-pspkhj3a/files/output.log
2024-06-24 23:17:05,734 DEBUG   HandlerThread:112086 [handler.py:handle_request():158] handle_request: internal_messages
2024-06-24 23:17:06,604 INFO    wandb-upload_0:112086 [upload_job.py:push():88] Uploaded file /home/sultand/.local/share/wandb/artifacts/staging/tmp3bmpyczc
2024-06-24 23:17:06,734 DEBUG   HandlerThread:112086 [handler.py:handle_request():158] handle_request: internal_messages
2024-06-24 23:17:07,163 DEBUG   HandlerThread:112086 [handler.py:handle_request():158] handle_request: log_artifact
